method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,802.306,399.792,11.095,1745.333,461,7,,3493.275061,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,753.990,411.369,9.903,1784.000,468,8,,5388.881677,576758.409555
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,740.252,403.291,9.722,1784.000,468,8,,5029.047163,514076.538750
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,801.872,406.370,21.988,1745.333,461,7,,3502.420076,761508.920000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,767.240,412.576,25.573,1784.000,468,8,,6707.901133,620871.524331
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,729.420,383.541,18.964,1784.000,468,8,,4855.467671,568417.723348
DynaCol-RL,COLONY_RL,100,Churn,1,159,794.813,397.673,18.722,1753.333,463,7,,3539.239207,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,2,176,770.250,406.985,21.286,1784.000,468,8,,6242.955099,518110.015247
DynaCol-RL,COLONY_RL,100,Churn,3,193,722.420,374.971,16.951,1797.333,471,8,,4865.310744,495881.883013
