method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,794.462,435.229,13.431,1745.333,461,7,,3353.892515,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,758.730,405.090,10.178,1784.000,468,8,,5413.672392,580021.170023
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,732.770,400.267,9.406,1784.000,468,8,,5178.424802,519973.099420
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,796.467,443.934,29.044,1745.333,461,7,,3431.450313,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,781.201,410.862,24.609,1784.000,468,8,,6561.978063,637836.094108
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,728.580,382.121,19.435,1784.000,468,8,,4872.624801,591975.363348
DynaCol-RL,COLONY_RL,100,Churn,1,159,792.768,442.149,25.716,1753.333,463,7,,3371.911279,667265.400000
DynaCol-RL,COLONY_RL,100,Churn,2,176,793.410,416.412,22.185,1784.000,468,8,,6348.197094,519638.116475
DynaCol-RL,COLONY_RL,100,Churn,3,193,719.420,376.671,17.196,1797.333,471,8,,4747.542254,470278.241004
