method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,790.788,439.300,29.193,1745.333,461,7,,3444.921388,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,724.267,396.817,23.804,1784.000,468,8,,5306.580390,678932.013439
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,788.304,413.913,26.101,1784.000,468,8,,4427.830151,583630.560000
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,782.237,436.157,27.622,1745.333,461,7,,3431.450313,761513.400000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,734.082,402.252,23.158,1784.000,468,8,,5347.739463,662698.304443
