method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,100,Burst Load,1,159,774.905,437.229,28.396,1745.333,461,7,,3487.236174,761517.880000
Dyna-Bound,COLONY_GNN,100,Burst Load,2,176,733.892,405.291,23.733,1784.000,468,8,,5148.090523,681217.950068
Dyna-Bound,COLONY_GNN,100,Burst Load,3,193,799.070,421.283,28.297,1784.000,468,8,,3440.010595,692421.865259
Dyna-Bound,COLONY_GNN,100,Burst Load,4,210,775.970,426.283,27.000,1745.333,461,7,,3712.565281,761508.920000
Dyna-Bound,COLONY_GNN,100,Burst Load,5,227,720.266,390.917,21.797,1784.000,468,8,,5131.669181,700673.979420
