method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,792.390,417.965,12.384,1745.333,461,7,,3117.343142,667256.440000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,755.836,402.669,8.814,1784.000,468,8,,5318.856661,574291.551541
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,782.420,409.061,10.345,1784.000,468,8,,4774.024488,490135.722009
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,788.545,420.251,24.577,1745.333,461,7,,3201.548833,761504.440000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,774.244,413.737,24.858,1784.000,468,8,,5478.246158,672336.315760
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,771.620,409.092,25.405,1784.000,468,8,,4884.954317,577427.168572
DynaCol-RL,COLONY_RL,100,Churn,1,159,785.999,412.909,20.442,1753.333,463,7,,3202.168806,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,2,176,752.492,406.304,21.499,1784.000,468,8,,5470.294184,565186.778750
DynaCol-RL,COLONY_RL,100,Churn,3,193,782.420,409.453,22.162,1797.333,471,8,,4646.780005,464530.362009
