method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,3,25.833,1.102,782.131,11.174,1771.111,7.67
DynaCol-RL,100,Burst Load,3,23.929,1.124,771.293,21.539,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.19,3.202,770.439,42.354,1771.111,7.67
DynaCol-GNN,100,Churn,3,21.797,0.898,774.712,14.229,1778.222,7.67
DynaCol-RL,100,Churn,3,22.171,0.694,777.396,27.017,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.279,2.145,777.432,18.018,1778.222,7.67
DynaCol-GNN,100,Normal Load,3,11.156,0.898,775.749,11.029,1771.111,7.67
DynaCol-RL,100,Normal Load,3,9.42,0.542,761.751,15.808,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.164,1.857,766.955,29.29,1771.111,7.67
