method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,3,27.133,1.868,778.98,17.823,1771.111,7.67
DynaCol-RL,100,Burst Load,3,25.399,0.822,778.776,11.225,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.465,3.239,771.205,41.83,1771.111,7.67
DynaCol-GNN,100,Churn,3,22.382,2.073,768.071,20.283,1778.222,7.67
DynaCol-RL,100,Churn,3,23.122,0.583,789.488,14.077,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.491,2.53,769.058,36.094,1778.222,7.67
DynaCol-GNN,100,Normal Load,3,11.729,1.659,774.31,26.036,1771.111,7.67
DynaCol-RL,100,Normal Load,3,11.506,1.391,776.129,27.521,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.21,3.026,769.717,39.24,1771.111,7.67
