method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
Dyna-Bound,100,Burst Load,3,26.936,3.645,775.092,38.644,1771.111,7.67
DynaCol-RL,100,Burst Load,3,26.112,2.407,771.158,36.938,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,25.932,3.14,773.415,42.701,1771.111,7.67
Dyna-Bound,100,Churn,3,23.21,3.183,769.357,34.367,1778.222,7.67
DynaCol-RL,100,Churn,3,22.544,2.421,764.558,33.322,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.427,2.987,769.755,41.07,1778.222,7.67
Dyna-Bound,100,Normal Load,3,11.404,2.429,772.959,34.88,1771.111,7.67
DynaCol-RL,100,Normal Load,3,10.954,2.052,763.394,33.404,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.407,3.01,766.065,35.423,1771.111,7.67
