method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,3,24.774,2.738,750.129,33.314,1771.111,7.67
DynaCol-RL,100,Burst Load,3,24.573,2.136,761.972,31.964,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.664,3.076,772.984,33.6,1771.111,7.67
DynaCol-GNN,100,Churn,3,22.541,1.414,755.801,26.57,1778.222,7.67
DynaCol-RL,100,Churn,3,21.8,2.867,760.8,36.067,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.571,2.99,771.622,39.616,1778.222,7.67
DynaCol-GNN,100,Normal Load,3,10.038,2.642,756.688,35.001,1771.111,7.67
DynaCol-RL,100,Normal Load,3,10.176,2.265,755.969,34.075,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.864,2.76,771.826,38.042,1771.111,7.67
