method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
Dyna-Bound,100,Burst Load,3,25.297,1.245,770.589,21.813,1771.111,7.67
DynaCol-RL,100,Burst Load,3,24.947,0.421,778.136,9.109,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.812,3.559,775.493,39.911,1771.111,7.67
Dyna-Bound,100,Churn,3,22.076,0.83,772.225,21.005,1778.222,7.67
DynaCol-RL,100,Churn,3,21.368,0.867,773.637,18.399,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.533,2.466,770.21,40.193,1778.222,7.67
Dyna-Bound,100,Normal Load,3,10.709,1.196,764.921,22.56,1771.111,7.67
DynaCol-RL,100,Normal Load,3,10.514,1.791,776.882,18.896,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.309,2.268,766.857,32.649,1771.111,7.67
