method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
Dyna-Bound,100,Burst Load,3,26.423,3.099,771.923,40.691,1771.111,7.67
DynaCol-RL,100,Burst Load,3,25.778,3.572,769.018,38.704,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.952,2.989,776.379,39.598,1771.111,7.67
Dyna-Bound,100,Churn,3,23.088,2.886,769.769,38.121,1778.222,7.67
DynaCol-RL,100,Churn,3,22.23,2.595,770.271,41.818,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.544,2.241,767.708,38.345,1778.222,7.67
Dyna-Bound,100,Normal Load,3,11.734,2.846,770.136,40.863,1771.111,7.67
DynaCol-RL,100,Normal Load,3,11.155,2.852,769.133,43.988,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.267,2.626,770.479,37.578,1771.111,7.67
