method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,3,24.986,2.159,776.893,7.468,1771.111,7.67
DynaCol-RL,100,Burst Load,3,22.318,2.712,765.991,34.851,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,26.478,3.29,775.252,38.415,1771.111,7.67
DynaCol-GNN,100,Churn,3,22.449,2.108,769.958,14.667,1778.222,7.67
DynaCol-RL,100,Churn,3,19.652,2.413,763.695,39.381,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.434,2.793,770.441,33.499,1778.222,7.67
DynaCol-GNN,100,Normal Load,3,11.597,0.993,783.621,10.042,1771.111,7.67
DynaCol-RL,100,Normal Load,3,10.066,0.688,760.104,31.343,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.617,3.056,768.048,42.281,1771.111,7.67
