method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,3,26.616,3.186,771.534,38.603,1771.111,7.67
DynaCol-RL,100,Burst Load,3,25.629,2.711,768.312,36.28,1771.111,7.67
DynaCol/DCBO,100,Burst Load,3,27.194,2.558,773.43,41.638,1771.111,7.67
DynaCol-GNN,100,Churn,3,22.908,2.885,768.714,38.942,1778.222,7.67
DynaCol-RL,100,Churn,3,22.732,3.73,766.897,38.94,1778.222,7.67
DynaCol/DCBO,100,Churn,3,23.314,2.855,769.605,40.274,1778.222,7.67
DynaCol-GNN,100,Normal Load,3,11.758,2.717,766.91,36.805,1771.111,7.67
DynaCol-RL,100,Normal Load,3,11.053,3.049,763.692,39.253,1771.111,7.67
DynaCol/DCBO,100,Normal Load,3,11.328,2.862,766.467,41.623,1771.111,7.67
