method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,795.271,397.142,10.843,1745.333,461,7,,3437.158193,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,749.924,405.706,9.824,1784.000,468,8,,5346.039915,581251.340090
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,735.116,400.585,9.532,1784.000,468,8,,5186.984182,506277.906518
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,797.600,402.333,21.668,1745.333,461,7,,3593.696847,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,771.756,411.684,25.296,1784.000,468,8,,6358.807464,618709.916965
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,728.617,385.791,19.990,1784.000,468,8,,4947.549836,573406.847567
DynaCol-RL,COLONY_RL,100,Churn,1,159,798.361,404.124,20.460,1753.333,463,7,,3489.390767,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,2,176,771.850,413.101,21.558,1784.000,468,8,,6322.616716,544474.340872
DynaCol-RL,COLONY_RL,100,Churn,3,193,720.875,374.395,16.939,1797.333,471,8,,4803.253209,480416.322009
